h1,h2,h3,h4
1.3311937503268498,1.4082897941870545,1.45852314085055,1.3610153275548882
1.363487885789761,1.343773237415187,1.3511601666006876,1.3158004072658158
1.2813909884524863,1.497985665080089,1.6013935532973698,1.2504544493899874
1.495366265026312,1.474004418269949,1.5039054132625402,1.1805825415714717
1.21552399369616,1.3733016596679626,1.2938507883318382,1.3749766942407584
1.4953484939082686,1.368405910359687,1.3162204641980977,1.2243962576992335
1.456170499140126,1.6995369677774743,1.4822409404996142,1.2220373217102816
1.3097431293830888,1.4810847264419595,1.4202623907162175,1.2376785005154038
1.3766123573186206,1.2949911452294487,1.4499221476813422,1.069720654613334
1.5764518035030115,1.6106665964409783,1.250867014578266,1.2869224363846952
1.2439658946396035,1.4320918330993582,1.2474261191336242,1.3301585175605497
1.3168042090136234,1.4491841969102786,1.4454836393377235,1.3250708473853208
1.5218587153331316,1.5237086963501507,1.2254145383865758,1.3266674255604374
1.2093267819998352,1.3949223341292023,1.3554328145548646,1.3059251952410702
1.490179762515039,1.336859885272497,1.4002727032657805,1.343330385571052
1.3688230111833617,1.6597004197492735,1.2594296468707182,1.2692486670364864
1.4646723332878242,1.5286418631865075,1.3032666457347652,1.3524257699857365
1.5117218735195708,1.5002106243784123,1.4674128504523596,1.3914868065403914
1.3582315519597603,1.4232407452285198,1.4386960732897125,1.375459287759001
1.4592589133061074,1.459294295981287,1.401751736537907,1.1882114682380822
1.28142068698335,1.5242486191082545,1.348902449484563,1.4027359527784398
1.231655140480202,1.710563280936683,1.434333681473138,1.2117010762441611
1.4016949890455432,1.4630388505943448,1.3964776424124994,1.3491333876110758
1.5834299507259455,1.4867741037331632,1.523558247469442,1.3373139743408968
1.364587759963128,1.552078044840337,1.2793972184017013,1.423802222429528
1.597144592925038,1.2832016004054798,1.486146845955267,1.3055847874545232
1.3618954322207844,1.5291937497036727,1.40192444125537,1.3184805755223905
1.4488023923115896,1.4598092345105973,1.360329308693775,1.3133577610205187
1.283880671740182,1.3251315974427662,1.3530196262840766,1.177703626100303
1.2423096152303503,1.6375368247651365,1.4441828399215417,1.4478886575816756
